DATE,HOLIDAY,WEEKDAY,WEATHERSIT,TEMP,ATEMP,HUMIDITY,WINDSPEED,CASUAL,REGISTERED
1/1/2011,NO,NO,2,11,11,81,17,331,654
1/2/2011,NO,NO,2,9,6.5,71.5,17,131,670
1/3/2011,NO,YES,1,1,4,44,18,120,1229
1/4/2011,NO,YES,1,2,2.5,64,9,108,1454
1/5/2011,NO,YES,1,2.5,1,42.5,13,82,1518
1/6/2011,NO,YES,1,2,2,52,6,88,1518
1/7/2011,NO,YES,2,1,3,47.5,11,148,1362
1/8/2011,NO,NO,2,1,5,51,17,68,891
1/9/2011,NO,NO,1,2,8.5,46,25,54,768
1/10/2011,NO,YES,1,2,6,50,15,41,1280
1/11/2011,NO,YES,2,1,3.5,57,7,43,1220
1/12/2011,NO,YES,1,1,5.5,55,22,25,1137
1/13/2011,NO,YES,1,2,7,48.5,20,38,1368
1/14/2011,NO,YES,1,2,3,54,8,54,1367
1/15/2011,NO,NO,2,3.5,3.5,52,12,222,1026
1/16/2011,NO,NO,1,2.5,2,49.5,15,251,953
1/17/2011,YES,YES,2,1,4,48,13,117,883
1/18/2011,NO,YES,2,1,3,87,14,9,674
1/19/2011,NO,YES,2,5.5,2.5,71.5,10,78,1572
1/20/2011,NO,YES,2,4,2,56,15,83,1844
1/21/2011,NO,YES,1,2,5,42,22,75,1468
1/22/2011,NO,NO,1,6.5,11,42,11,93,888
1/23/2011,NO,NO,1,4,10,42,15,150,836
1/24/2011,NO,YES,1,2.5,7,49,13,86,1330
1/25/2011,NO,YES,2,2,4,65,9,186,1799
1/26/2011,NO,YES,3,2,4,93,22,34,472
1/27/2011,NO,YES,1,1.5,2,70,12,15,416
1/28/2011,NO,YES,2,1,2,80,7,38,1129
1/29/2011,NO,NO,1,1,2.5,64,9,123,975
1/30/2011,NO,NO,1,3,2,70,0,140,956
1/31/2011,NO,YES,2,1,4,59,13,42,1459
2/1/2011,NO,YES,2,2,1,86.5,0,47,1313
2/2/2011,NO,YES,2,2.5,2.5,93,16,72,1454
2/3/2011,NO,YES,1,1,4.5,44,20,61,1489
2/4/2011,NO,YES,2,3,1.5,59,9,88,1620
2/5/2011,NO,NO,2,2,1,100,10,100,905
2/6/2011,NO,NO,1,4.5,3,61,7,354,1269
2/7/2011,NO,YES,1,5,5,75,0,120,1592
2/8/2011,NO,YES,1,3,4,40,27,64,1466
2/9/2011,NO,YES,2,2,6,44,12,53,1552
2/10/2011,NO,YES,1,2,5.5,41.5,15,47,1491
2/11/2011,NO,YES,1,4,4,59,6,149,1597
2/12/2011,NO,NO,1,3.5,2,43.5,10,288,1184
2/13/2011,NO,NO,1,9.5,6,36,20,397,1192
2/14/2011,NO,YES,1,10,6,40.5,29,208,1705
2/15/2011,NO,YES,1,4,3.5,32,17,140,1675
2/16/2011,NO,YES,1,8,5.5,44,15,218,1897
2/17/2011,NO,YES,1,13.5,13.5,54.5,15,259,2216
2/18/2011,NO,YES,1,15.5,15.5,51,16,579,2348
2/19/2011,NO,NO,1,11,11,17,35,532,1103
2/20/2011,NO,NO,1,6,4,42.5,11,639,1173
2/21/2011,YES,YES,2,7,5,66,20,195,912
2/22/2011,NO,YES,1,2,6,60,17,74,1376
2/23/2011,NO,YES,1,3,6,48,6,139,1778
2/24/2011,NO,YES,2,7,4,70,19,100,1707
2/25/2011,NO,YES,2,7,6,60,24,120,1341
2/26/2011,NO,NO,1,5,3,56,14,424,1545
2/27/2011,NO,NO,1,9,8,62,9,694,1708
2/28/2011,NO,YES,2,10,8,93,19.5,81,1365
3/1/2011,NO,YES,1,3.5,4,58,14,137,1714
3/2/2011,NO,YES,1,6.5,3.5,37,19.5,231,1903
3/3/2011,NO,YES,1,1.5,3,34,13,123,1562
3/4/2011,NO,YES,2,5.5,4,67.5,13,214,1730
3/5/2011,NO,NO,2,12,12,77,19.5,640,1437
3/6/2011,NO,NO,2,11.5,11.5,100,21,114,491
3/7/2011,NO,YES,1,4,4,48,26,244,1628
3/8/2011,NO,YES,1,6,3,45.5,8,316,1817
3/9/2011,NO,YES,2,7,3,76,17,191,1700
3/10/2011,NO,YES,3,10.5,9.5,100,17,46,577
3/11/2011,NO,YES,2,7,4,57,17,247,1730
3/12/2011,NO,NO,1,8.5,5.5,63.5,13,724,1408
3/13/2011,NO,NO,1,9.5,8.5,53.5,20,982,1435
3/14/2011,NO,YES,1,7.5,5.5,47.5,9,359,1687
3/15/2011,NO,YES,2,7,5,68,13,289,1767
3/16/2011,NO,YES,2,9,8,82,13,321,1871
3/17/2011,NO,YES,1,12,12,63,15,424,2320
3/18/2011,NO,YES,1,19,19,52,15,884,2355
3/19/2011,NO,NO,1,14,14,38,25,1424,1693
3/20/2011,NO,NO,1,8,5,51.5,15,1047,1424
3/21/2011,NO,YES,2,12.5,12.5,74.5,19.5,401,1676
3/22/2011,NO,YES,1,13,13,56.5,16,460,2243
3/23/2011,NO,YES,2,8,5,87,15,203,1918
3/24/2011,NO,YES,2,5.5,2,76,15,166,1699
3/25/2011,NO,YES,1,4.5,3,44,17,300,1910
